Time (s),Speed (m/s),Acceleration (m/s2),Lift Resultant Force (N),Drag Resultant Force (N),CD
70.2,23.63002339051513,0.08462345251845851,2.7484395345786568,-219.9204206264932,0.4656175041793266
70.3,23.62616262019185,0.0824912038907397,2.672315701133145,-219.91377788343516,0.46562062478248867
70.4,23.622352275898944,0.08042778411797984,2.598426455218176,-219.90751861652595,0.4656237301989661
70.5,23.618590326173734,0.07843154517162494,2.5267181553797857,-219.90162012267768,0.4656268214638427
70.6,23.614874739553546,0.07650083902312023,2.4571371601639784,-219.89605969880245,0.46562989962082446
70.7,23.611203507767236,0.07463402889615749,2.3896302345907783,-219.89081495977587,0.465632965706228
70.8,23.607574910360846,0.07282961765982615,2.324149188204005,-219.88586746654366,0.46563602056717013
70.9,23.603987421601165,0.07108620265935207,2.260649243385473,-219.88120144973823,0.46563906492377916
71.0,23.600439519431365,0.0694023830236983,2.1990856869523796,-219.87680119039638,0.4656420994995047
71.1,23.596929681794624,0.0677767578818272,2.139413805721897,-219.8726509695549,0.46564512502356037
71.2,23.59345638681456,0.06620792644431071,2.0815888903661395,-219.86873507050785,0.4656481422307396
71.3,23.590018186555895,0.06469452136208309,2.0255678111592035,-219.86503870146242,0.46565115181333955
71.4,23.58661382046847,0.06323526003226294,1.9713114414789974,-219.8615494145858,0.4656541543467492
71.5,23.583242057238806,0.06182887307446062,1.9187812792861916,-219.85825512776054,0.4656571503916806
71.6,23.579901665553436,0.06047409110828581,1.8679388225414344,-219.85514375886925,0.46566014051309484
71.7,23.57659141409888,0.05916964475334826,1.8187455692053747,-219.85220322579445,0.46566312528016307
71.8,23.573310086886497,0.057914270729080515,1.7711633034977203,-219.84942164524753,0.4656661052562162
71.9,23.57005664968748,0.056706778101711854,1.7251572048066892,-219.84678949214307,0.4656690808897154
72.0,23.56683018727399,0.05554602330404479,1.6806946753901273,-219.8442987853481,0.46567205255441574
72.1,23.563629786481044,0.05443086358996807,1.6377431560387063,-219.84194157049365,0.4656750206254934
72.2,23.560454534143666,0.0533601562133705,1.596270087543099,-219.8397098932107,0.4656779854808712
72.3,23.557303517208126,0.05233275846207621,1.5562429133264033,-219.8375958004141,0.46568094750113126
72.4,23.55417585995702,0.05134753901187149,1.517629960202229,-219.83559176984318,0.46568390704663
72.5,23.551070778027356,0.05040339440258023,1.48040171646182,-219.83369133337754,0.4656868644240714
72.6,23.54798750076969,0.049499225356800215,1.4445289948638549,-219.83188818113769,0.4656898199338982
72.7,23.54492525753458,0.048633932597129254,1.4099826081670135,-219.8301760032442,0.4656927738786759
72.8,23.541883277672582,0.04780641684616552,1.3767333691299894,-219.82854848981756,0.4656957265630818
72.9,23.53886080398831,0.04701558303939904,1.3447522591559364,-219.82699948387167,0.46569867828600214
73.0,23.53585723188739,0.04626038389653749,1.3140121724774432,-219.82552456259458,0.46570162925873304
73.1,23.532872053451747,0.04553980240970449,1.2844872151491435,-219.82412040181418,0.46570457963719053
73.2,23.52990476229663,0.044852822051157495,1.256151512445702,-219.82278369478323,0.46570752957752753
73.3,23.5269548520373,0.04419842629315428,1.228979189641795,-219.8215111347545,0.46571047923702646
73.4,23.524021816289004,0.0435755986079522,1.2029443720120834,-219.8202994149808,0.4657134287740943
73.5,23.521105148666997,0.04298332246780902,1.1780211848312434,-219.81914522871492,0.4657163783482576
73.6,23.518204342786532,0.04242058134498219,1.1541837533739399,-219.8180452692096,0.46571932812015787
73.7,23.51531889226286,0.04188635871172921,1.131406202914838,-219.81699622971763,0.46572227825154716
73.8,23.51244829071124,0.04137963804030779,1.1096626587286127,-219.8159948034918,0.46572522890528345
73.9,23.509592031746923,0.040899402802975354,1.0889272460899266,-219.8150376837849,0.46572818024532675
74.0,23.506749617201304,0.04044464396205198,1.0691740682316684,-219.81412161934193,0.4657311324333341
74.1,23.503920629312386,0.040014425780689984,1.0503770126767307,-219.8132439019777,0.4657340855987065
74.2,23.501104695818636,0.03960785400151585,1.0325098448820422,-219.81240213081927,0.46573703985283244
74.3,23.498301444975827,0.0392240348387351,1.0155463289167752,-219.81159390848765,0.46573999530764837
74.4,23.49551050503972,0.03886207450655304,0.9994602288500918,-219.81081683760374,0.46574295207585
74.5,23.4927315042661,0.03852107921917517,0.9842253087511637,-219.81006852078852,0.4657459102708901
74.6,23.489964070910723,0.03820015519080684,0.9698153326891553,-219.80934656066287,0.46574887000697607
74.7,23.48720783322936,0.03789840863565341,0.9562040647332319,-219.80864855984782,0.4657518313990682
74.8,23.484462419477783,0.03761494576792039,0.9433652689525647,-219.80797212096425,0.46575479456287705
74.9,23.481727457911756,0.037348872801813086,0.9312727094163167,-219.80731484663312,0.46575775961486193
75.0,23.479002576787053,0.037099295951536986,0.9199001501936585,-219.8066743394754,0.4657607266722288
75.1,23.476287419100633,0.03686534024159908,0.909221442600635,-219.8060483865365,0.46576369584374433
75.2,23.473581753066085,0.03664629047755785,0.8992111790577377,-219.80543634142634,0.46576666716074266
75.3,23.47088541008502,0.03644151209520836,0.8898443259686492,-219.8048383482893,0.46576964061532394
75.4,23.468198222044094,0.036250371149290285,0.8810958526078662,-219.80425455733825,0.46577261619930577
75.5,23.46552002082997,0.03607223369454345,0.8729407282498911,-219.80368511878603,0.46577559390452505
75.6,23.462850638329304,0.03590646578570759,0.8653539221692228,-219.8031301828455,0.46577857372283776
75.7,23.460189906428756,0.03575243347752242,0.8583104036403598,-219.80258989972953,0.4657815556461191
75.8,23.457537657014985,0.03560950282472774,0.8517851419378042,-219.80206441965095,0.4657845396662634
75.9,23.454893721950597,0.03547703999502816,0.8457531092601248,-219.80155389197643,0.4657875257752224
76.0,23.452257924689903,0.03535445064510897,0.8401902999694207,-219.80105817026887,0.465790513978414
76.1,23.44963006796083,0.035241237771724034,0.8350752280539292,-219.80057637893702,0.4657935043145422
76.2,23.447009951354403,0.035136919103834756,0.8303867888418193,-219.80010753203376,0.4657964968276204
76.3,23.44439737446165,0.03504101237040256,0.8261038776612623,-219.7996506436119,0.4657994915619681
76.4,23.44179213687361,0.03495303530038882,0.8222053898404267,-219.7992047277243,0.4658024885622103
76.5,23.439194038181306,0.034872505622754964,0.8186702207074836,-219.79876879842377,0.4658054878732766
76.6,23.43660287797577,0.034798941066462384,0.8154772655906022,-219.79834186976322,0.4658084895404009
76.7,23.434018455848033,0.03473185936047247,0.812605419817952,-219.79792295579543,0.4658114936091208
76.8,23.43144057302484,0.034670783586928364,0.8100337691929169,-219.79751108119825,0.4658145001246912
76.9,23.42886905813119,0.034615326493680175,0.8077445899756145,-219.79710544861695,0.4658175091228494
77.0,23.426303762486018,0.034565175098551365,0.8057228010767866,-219.79670540810716,0.4658205206314345
77.1,23.423744538092627,0.034520018659105624,0.8039534011009017,-219.79631031416986,0.4658235346782399
77.2,23.42119123695432,0.034479546432906634,0.8024213886524283,-219.79591952130605,0.46582655129125733
77.3,23.41864371107441,0.034443447677518106,0.8011117623358354,-219.79553238401672,0.46582957049867657
77.4,23.416101812456198,0.034411411650503744,0.8000095207555916,-219.7951482568029,0.465832592328885
77.5,23.41356539310299,0.03438312760942724,0.7990996625161658,-219.79476649416554,0.46583561681046726
77.6,23.41103430501809,0.03435828481185229,0.7983671862220268,-219.79438645060566,0.4658386439722049
77.7,23.40850841245546,0.034336593938940126,0.7977979393534121,-219.7940076425189,0.4658416738349579
77.8,23.405987631781237,0.034317856804175505,0.7973813803630461,-219.79363027497283,0.465844706385158
77.9,23.403471893215706,0.03430189944878028,0.7971079276889653,-219.79325473612005,0.46584774159999803
78.0,23.400961126979258,0.03428854791417285,0.7969679997769934,-219.7928814141147,0.4658507794565882
78.1,23.39845526329229,0.03427762824177157,0.7969520150729532,-219.79251069711086,0.4658538199319564
78.2,23.3959542323752,0.034268966472994815,0.797050392022668,-219.79214297326266,0.4658568630030482
78.3,23.393457964448377,0.03426238864926097,0.7972535490719609,-219.79177863072417,0.4658599086467271
78.4,23.39096638973222,0.03425772081198839,0.7975519046666549,-219.79141805764954,0.4658629568397748
78.5,23.388479438221115,0.03425478958048467,0.7979359156900471,-219.7910616346376,0.4658660075592577
78.6,23.38599703040248,0.03425344588273366,0.7983976558822833,-219.79070942447873,0.46586906079760554
78.7,23.383519073979837,0.03425357333430228,0.7989313731513612,-219.79036106261006,0.46587211656804317
78.8,23.381045475757237,0.03425505785064034,0.7995314683787001,-219.79001615440032,0.4658751748853723
78.9,23.378576142538723,0.034257785347197645,0.80019234244572,-219.7896743052183,0.46587823576451354
79.0,23.376110981128353,0.034261641739424004,0.8009083962338405,-219.78933512043275,0.46588129922050653
79.1,23.37364989833017,0.03426651294276921,0.8016740306244812,-219.78899820541244,0.46588436526850974
79.2,23.37119280094823,0.03427228487268308,0.8024836464990621,-219.7886631655261,0.46588743392380016
79.3,23.368739595786575,0.03427884344461542,0.8033316447390025,-219.78832960614247,0.46589050520177305
79.4,23.36629019208038,0.03428607901129261,0.804212639694947,-219.78799715418972,0.4658935791168191
79.5,23.36384451736599,0.034293915328731224,0.8051228526884612,-219.78766559889232,0.4658966556749767
79.6,23.3614025075148,0.034302291366087596,0.8060592369173171,-219.78733480339073,0.4658997348784925
79.7,23.35896409844045,0.03431114616961246,0.8070187492881556,-219.78700463119995,0.46590281672964146
79.8,23.35652922605658,0.034320418785556535,0.8079983467076175,-219.78667494583502,0.4659059012307463
79.9,23.354097826276824,0.034330048260170554,0.8089949860823435,-219.786345610811,0.46590898838417755
80.0,23.35166983501483,0.03433997363970523,0.8100056243189745,-219.78601648964292,0.46591207819235325
